,title,publication_date,location,workload,job_type,company,job_link,keyword
1631,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
1632,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
1633,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
1634,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
1635,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
1636,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
1637,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
1638,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
1639,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
1640,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
1641,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
1642,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
1643,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
1644,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
1645,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
1646,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
1647,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
1648,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
1649,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
1650,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
1651,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
1652,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
1653,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
1654,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
1655,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
1656,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
1657,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
1658,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
1659,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
1660,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
1661,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
1662,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
1663,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
1664,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
1665,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
1666,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
1667,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
1668,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
1669,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
1670,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
1671,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
1672,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
1673,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
1674,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
1675,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
1676,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
1677,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
1678,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
1679,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
1680,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
1681,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
1682,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
1683,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
1684,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
1685,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
1686,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
1687,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
1688,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
1689,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
1690,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
1691,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
1692,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
1693,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
1694,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
1695,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
1696,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
1697,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
1698,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
1699,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
1700,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
1701,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
1702,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
1703,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
1704,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
1705,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
1706,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
1707,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
1708,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
1709,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
1710,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
1711,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
1712,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
1713,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
1714,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
1715,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
1716,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
1717,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
1718,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
1719,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
1720,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
1721,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
1722,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
1723,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
1724,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
1725,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
1726,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
1727,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
1728,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
1729,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
1730,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
1731,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
1732,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
1733,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
1734,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
1735,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
1736,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
1737,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
1738,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
1739,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
1740,Senior Data Scientist – mit Gespür fürs Business (all genders),22 May 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/451a1e73-e735-4da1-9e59-1f4de0e356c6/?source=vacancy_search,data scientist
